"","GeneID","F_olivaceous_BW_1.quant","F_olivaceous_BW_2.quant","F_olivaceous_BW_3.quant","F_olivaceous_FW_1.quant","F_olivaceous_FW_2.quant","F_olivaceous_FW_3.quant","F_olivaceous_transfer_1.quant","F_olivaceous_transfer_2.quant","baseMean_TR_v_FW","log2FC_TR_v_FW","lfcSE_TR_v_FW","stat_TR_v_FW","pvalue_TR_v_FW","padj_TR_v_FW","baseMean_TR_v_BW","log2FC_TR_v_BW","lfcSE_TR_v_BW","stat_TR_v_BW","pvalue_TR_v_BW","padj_TR_v_BW","Trinity_contigID","Trinity_gene","dammit_ID","NCBI_Fhet"
"112436","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i18","TRINITY_DN123300_c10_g1_","Transcript_147696","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112437","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i25","TRINITY_DN123300_c10_g1_","Transcript_147703","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112438","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i18","TRINITY_DN123300_c10_g1_","Transcript_147696","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112439","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i5","TRINITY_DN123300_c10_g1","Transcript_147683","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112440","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i16","TRINITY_DN123300_c10_g1_","Transcript_147694","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112441","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i20","TRINITY_DN123300_c10_g1_","Transcript_147698","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112442","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i1","TRINITY_DN123300_c10_g1","Transcript_147679","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112443","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i21","TRINITY_DN123300_c10_g1_","Transcript_147699","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112444","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i23","TRINITY_DN123300_c10_g1_","Transcript_147701","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112445","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i24","TRINITY_DN123300_c10_g1_","Transcript_147702","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112446","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i4","TRINITY_DN123300_c10_g1","Transcript_147682","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112447","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i22","TRINITY_DN123300_c10_g1_","Transcript_147700","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112448","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i10","TRINITY_DN123300_c10_g1_","Transcript_147688","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112449","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i8","TRINITY_DN123300_c10_g1","Transcript_147686","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112450","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i26","TRINITY_DN123300_c10_g1_","Transcript_147704","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112451","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i28","TRINITY_DN123300_c10_g1_","Transcript_147706","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112452","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i4","TRINITY_DN123300_c10_g1","Transcript_147682","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112453","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i6","TRINITY_DN123300_c10_g1","Transcript_147684","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112454","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i5","TRINITY_DN123300_c10_g1","Transcript_147683","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112455","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i16","TRINITY_DN123300_c10_g1_","Transcript_147694","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112456","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i23","TRINITY_DN123300_c10_g1_","Transcript_147701","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112457","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i23","TRINITY_DN123300_c10_g1_","Transcript_147701","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112458","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i11","TRINITY_DN123300_c10_g1_","Transcript_147689","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112459","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i26","TRINITY_DN123300_c10_g1_","Transcript_147704","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112460","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i29","TRINITY_DN123300_c10_g1_","Transcript_147707","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112461","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i8","TRINITY_DN123300_c10_g1","Transcript_147686","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112462","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i20","TRINITY_DN123300_c10_g1_","Transcript_147698","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112463","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i6","TRINITY_DN123300_c10_g1","Transcript_147684","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112464","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i4","TRINITY_DN123300_c10_g1","Transcript_147682","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112465","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i15","TRINITY_DN123300_c10_g1_","Transcript_147693","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112466","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i12","TRINITY_DN123300_c10_g1_","Transcript_147690","gi|831558534|ref|XP_012730741.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112467","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i20","TRINITY_DN123300_c10_g1_","Transcript_147698","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112468","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i28","TRINITY_DN123300_c10_g1_","Transcript_147706","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112469","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i10","TRINITY_DN123300_c10_g1_","Transcript_147688","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112470","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i15","TRINITY_DN123300_c10_g1_","Transcript_147693","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112471","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i18","TRINITY_DN123300_c10_g1_","Transcript_147696","gi|831480208|ref|XP_012723130.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
"112472","ENSXMAP00000014476","183.07803888224","228.062012436288","263.146478749874","130.909386966553","166.706124069971","169.758541055657","88.1097325207592","111.632914809158",167.675403686313,-0.651443339311879,0.249237821905553,-2.61374190454424,0.00895566605000783,0.0850889399723191,167.675403686313,-1.19600714665238,0.242512920814384,-4.93172546285806,8.1506418089216e-07,7.46360597425177e-05,"TRINITY_DN123300_c10_g1_i12","TRINITY_DN123300_c10_g1_","Transcript_147690","gi|831480211|ref|XP_012723137.1| PREDICTED: DENN domain-containing protein 3-like [Fundulus heteroclitus]"
